pkAddress,addressStreet,addressTown,addressStreet2,addressHouseNumber,addressPoBox,addressZip,addressCountry,addressGeoDataLongitude,addressGeoDataLatitude,fkRegion,fkCountry
164,"Kolosseumstrasse","St. Gallen",,"25a",,"9008","Schweiz","9.3918896","47.4378164",,4
167,"Feigengasse","Oberkochen",,"3",,"73447","Deutschland","10.1047800","48.7841100",,2
168,"Oberanger","München",,"32",,"80331","Deutschland","11.57032","48.13453",9,2
170,"Neptunstrasse","St. Gallen",,"3+5",,"9000","Schweiz","9.3934674","47.4305922",6,4
173,"Käppeleweg","Lauda-Königshofen",,"6",,"97922","Deutschland","9.724301","49.544229",,2
174,"Wolftürlistrasse","Wallbach",,"1",,"4323","Schweiz","7.89802","47.55565",,4
176,"Zollernstr.","Konstanz",,"29",,"78462","Deutschland","9.1755601","47.6621343",,2
179,"In der Friede","Rheine",,"8",,"48432","Deutschland","7.4047400","52.2958600",,2
180,"Mühlenstrasse","Schaffhausen",,"40","Postfach 230","8203","Schweiz","8.62791","47.69319",7,4
186,"Schulstr.","Halstenbek",,"18",,"25469","Deutschland","9.8419777","53.6360576",,2
187,"Ebikonerstrasse","Adligenswil",,"75",,"6043","Schweiz","8.349166","47.071381",,4
188,"Stresemannstrasse","Hamburg",,"48",,"22769","Deutschland","9.9606288","53.5595508",,2
189,"Wexstrstr.","Hamburg",,"26",,"20355","Deutschland","9.98076","53.55525",,2
193,"Bismarckstrasse","Waldshut",,"35",,"79761","Deutschland","8.2158800","47.6227200",,2
201,"Nutzung","Oberlungwitz",,"28",,"09353","Deutschland","12.7461500","50.7933300",,2
202,"Neutalstrasse","Schaffhausen",,"66",,"8200","Schweiz","8.6711611","47.7222315",7,4
206,"Paradiesstrasse","Schwäbisch Gmünd",,"3",,"73525","Deutschland","9.79756","48.79693",,2
207,"Daimlerstrasse","Aalen",,"20",,"73431","Deutschland","10.0598470","48.8245091",,2
208,"Ettmannsdorfer Straße","Schwandorf",,"53",,"92421","Deutschland","12.09808","49.32968",,2
211,"Studacherstrasse","Kirchdorf",,"11",,"5416","Schweiz","8.275415","47.493232",,4
219,"Aichacher Strasse","Inchenhofen",,"14",,"86570","Deutschland","11.1153811","48.5096501",,2
220,"Wolfsteinstrasse","Neumarkt",,"8",,"92318","Deutschland","11.4902500","49.2832700",,2
225,"Im Brühl","Lauffen",,"68/1",,"74348","Deutschland","9.13815","49.07401",,2
228,"Löhrstrasse","Mörschwil",,"6",,"9402","Schweiz","9.42631","47.46496",,4
229,"Ganghoferstrasse","Gaimersheim",,"12",,"85080","Deutschland","11.3745700","48.8102500",,2
